"","tailnum","Count"
"1","N376CA",2160
"2","N956SW",2074
"3","N951SW",2078
"4","N868AS",2242
"5","N759EV",1156
"6","N451CA",2365
"7","N367CA",2083
"8","N760EV",1122
"9","N748EV",1793
"10","N865AS",1333
"11","N521AE",1737
"12","N779CA",2326
"13","N908SW",2209
"14","N964SW",2182
"15","N463SW",2199
"16","N921EV",1960
"17","N924EV",2219
"18","N659BR",1981
"19","N926EV",2213
"20","N427CA",2313
"21","N975SW",2190
"22","N516AE",1785
"23","N398CA",2281
"24","N919SW",2038
"25","N916EV",1979
"26","N883AS",1949
"27","N844AS",2285
"28","N595SW",2110
"29","N752SK",1164
"30","N744SK",1259
"31","N708SK",1486
"32","N760SK",454
"33","N442SW",2136
"34","N936SW",2205
"35","N810CA",2315
"36","N464SW",2131
"37","N726SK",1512
"38","N706EV",1611
"39","N378CA",2087
"40","N459SW",2246
"41","N693BR",2134
"42","N971EV",388
"43","N721CA",2230
"44","N784CA",2321
"45","N915SW",1997
"46","N905EV",2194
"47","N957SW",2146
"48","N977EV",436
"49","N503AE",1619
"50","N403CA",2415
"51","N447CA",2193
"52","N860AS",2204
"53","N953SW",2120
"54","N417SW",2104
"55","N868CA",2293
"56","N681BR",1740
"57","N835AS",2075
"58","N870AS",2153
"59","N712SK",1534
"60","N708EV",1710
"61","N753EV",1818
"62","N741EV",1807
"63","N629BR",1753
"64","N947SW",2195
"65","N743SK",1411
"66","N970SW",2104
"67","N655CA",2167
"68","N846AS",2166
"69","N522AE",1737
"70","N804CA",2153
"71","N909SW",2146
"72","N443CA",2207
"73","N929SW",2221
"74","N699BR",1887
"75","N934SW",2188
"76","N457SW",2146
"77","N915EV",1587
"78","N594SW",2144
"79","N943SW",2185
"80","N971SW",1531
"81","N850AS",2191
"82","N970EV",415
"83","N927EV",2237
"84","N495CA",2254
"85","N712CA",2279
"86","N435CA",2300
"87","N923SW",2072
"88","N523CA",2276
"89","N913EV",1514
"90","N510CA",2260
"91","N958SW",2167
"92","N839AS",2067
"93","N882AS",1935
"94","N426SW",2130
"95","N809CA",2308
"96","N715SK",1553
"97","N930EV",1969
"98","N518CA",2314
"99","N918SW",2081
"100","N738SK",1450
"101","N740SK",1486
"102","N936EV",1228
"103","N976SW",2204
"104","N466SW",2168
"105","N685BR",2016
"106","N869AS",2054
"107","N727SK",1601
"108","N505AE",1780
"109","N754EV",1851
"110","N513AE",1732
"111","N849AS",2138
"112","N449SW",2108
"113","N646BR",1551
"114","N439SW",2073
"115","N437SW",2169
"116","N762SK",305
"117","N976EV",390
"118","N922EV",1991
"119","N974EV",128
"120","N903SW",1968
"121","N719CA",2350
"122","N712EV",1678
"123","N979SW",2232
"124","N430SW",2220
"125","N981EV",384
"126","N805CA",2301
"127","N520DC",1829
"128","N932EV",1844
"129","N746SK",1218
"130","N690CA",2296
"131","N724EV",1702
"132","N668CA",2265
"133","N716SK",1602
"134","N815CA",1534
"135","N909EV",2206
"136","N978EV",424
"137","N507CA",2314
"138","N519AE",1788
"139","N651BR",2068
"140","N703SK",1469
"141","N752EV",1694
"142","N973EV",393
"143","N926SW",2049
"144","N904EV",2215
"145","N735CA",2316
"146","N524AE",1941
"147","N379CA",2158
"148","N433SW",2185
"149","N684BR",1731
"150","N878AS",1969
"151","N371CA",1975
"152","N659CA",2190
"153","N442CA",2196
"154","N934EV",1540
"155","N716EV",1674
"156","N965SW",2121
"157","N722EV",1781
"158","N866AS",2114
"159","N797CA",2234
"160","N374CA",2088
"161","N845AS",2204
"162","N937EV",1029
"163","N487CA",2292
"164","N597SW",2196
"165","N331CA",2074
"166","N710BR",2061
"167","N814CA",2314
"168","N807CA",2229
"169","N763SK",264
"170","N756SK",503
"171","N972EV",354
"172","N812CA",2314
"173","N917SW",2091
"174","N713CA",2212
"175","N441SW",2142
"176","N479CA",2280
"177","N796CA",2218
"178","N765SK",126
"179","N857AS",2301
"180","N698BR",2078
"181","N454SW",2216
"182","N730SK",1559
"183","N937SW",2268
"184","N719SK",1464
"185","N929EV",2207
"186","N856AS",2090
"187","N680BR",1822
"188","N317CA",2046
"189","N854AS",2177
"190","N707SK",929
"191","N935EV",1118
"192","N730EV",1614
"193","N369CA",1988
"194","N713SK",1476
"195","N748SK",1154
"196","N453SW",2223
"197","N447SW",2119
"198","N945SW",2190
"199","N465SW",2145
"200","N720SW",2144
"201","N931EV",1924
"202","N978SW",2263
"203","N806CA",2246
"204","N477CA",2289
"205","N511AE",1725
"206","N855AS",2129
"207","N707EV",1595
"208","N518AE",1843
"209","N852AS",2075
"210","N928SW",2207
"211","N979EV",404
"212","N912SW",2008
"213","N889AS",2072
"214","N496CA",2366
"215","N847AS",2104
"216","N427SW",2132
"217","N683BR",1831
"218","N744EV",1727
"219","N742SK",1467
"220","N871AS",2181
"221","N754SK",729
"222","N438SW",2180
"223","N881AS",1912
"224","N840AS",2154
"225","N641CA",2122
"226","N913SW",2106
"227","N905SW",2255
"228","N851AS",2196
"229","N908EV",2191
"230","N935SW",1777
"231","N900EV",2216
"232","N783CA",2414
"233","N654BR",1897
"234","N455CA",2245
"235","N720EV",1771
"236","N959SW",2166
"237","N452SW",2241
"238","N472CA",2284
"239","N460SW",2235
"240","N504AE",1608
"241","N468CA",2307
"242","N967SW",2089
"243","N507AE",1699
"244","N861AS",2228
"245","N786CA",2312
"246","N886AS",2053
"247","N502AE",1558
"248","N508AE",1659
"249","N941SW",2179
"250","N471CA",2315
"251","N436CA",2343
"252","N669CA",2296
"253","N409CA",1484
"254","N710EV",1717
"255","N920SW",2004
"256","N509AE",1885
"257","N751EV",1805
"258","N755EV",1770
"259","N910EV",120
"260","N713EV",1752
"261","N853AS",2230
"262","N874AS",2258
"263","N962SW",2191
"264","N368CA",2037
"265","N960SW",1778
"266","N745SK",1169
"267","N448SW",2042
"268","N750EV",1763
"269","N758EV",1182
"270","N753SK",711
"271","N431SW",2022
"272","N718EV",1843
"273","N625CA",2131
"274","N910SW",2202
"275","N863AS",2156
"276","N446SW",2133
"277","N819CA",1553
"278","N750SK",1150
"279","N932SW",2147
"280","N944SW",2292
"281","N653CA",2156
"282","N912EV",5
"283","N526CA",2271
"284","N916SW",2028
"285","N724SK",1551
"286","N862AS",2085
"287","N923EV",1972
"288","N429SW",2206
"289","N859AS",2190
"290","N781CA",2293
"291","N836AS",2071
"292","N709EV",1657
"293","N432SW",2190
"294","N717EV",1820
"295","N751SK",1163
