"","tailnum","Count"
"1","N27724",730
"2","N76355",871
"3","N18119",935
"4","N839MH",1025
"5","N133DN",1219
"6","N538US",920
"7","N320AS",1253
"8","N26215",994
"9","N312UA",1327
"10","N780AS",1586
"11","N134DL",1250
"12","N13248",1013
"13","N627AS",1455
"14","N588US",1573
"15","N582NW",1201
"16","N14654",1173
"17","N76010",23
"18","N552UA",1203
"19","N614AS",1422
"20","N693DL",1315
"21","N14231",1067
"22","N37274",1038
"23","N595NW",1254
"24","N135DL",1209
"25","N688DL",1027
"26","N433US",1757
"27","N838MH",1057
"28","N979AT",2056
"29","N394DL",72
"30","N624SW",2534
"31","N16647",1227
"32","N77014",18
"33","N717JL",1903
"34","N614SW",2452
"35","N654DL",1111
"36","N380DA",1108
"37","N319AA",694
"38","N12216",959
"39","N37273",1019
"40","N919AT",2183
"41","N841MH",1086
"42","N975AT",2048
"43","N1609",117
"44","N698SW",2382
"45","N173DZ",1019
"46","N389SW",2626
"47","N549AS",1024
"48","N16646",1220
"49","N921UA",1418
"50","N940AT",2112
"51","N225UA",67
"52","N68061",202
"53","N825MH",1068
"54","N61304",1189
"55","N78009",21
"56","N929UA",1635
"57","N11641",1195
"58","N58606",1160
"59","N602SW",2487
"60","N619DL",923
"61","N655DL",1074
"62","N67157",125
"63","N998AT",2191
"64","N1611B",114
"65","N675UA",946
"66","N420US",1851
"67","N14118",691
"68","N588UA",1005
"69","N932AT",2118
"70","N12125",1011
"71","N539UA",1207
"72","N677AA",2646
"73","N441US",1558
"74","N604AT",2109
"75","N6716C",1335
"76","N76054",233
"77","N221UA",76
"78","N177UA",18
"79","N990AT",2106
"80","N504US",1135
"81","N3747D",1130
"82","N67052",247
"83","N692SW",2708
"84","N527UA",1094
"85","N12322",1106
"86","N631SW",2754
"87","N533UA",1143
"88","N667UA",831
"89","N6707A",1330
"90","N710SW",2063
"91","N613AS",1394
"92","N618AA",707
"93","N644UA",151
"94","N3735D",1378
"95","N311AW",1547
"96","N444US",1710
"97","N395DN",1414
"98","N375DA",1078
"99","N34282",896
"100","N195DN",116
"101","N778AS",1640
"102","N14639",1125
"103","N279AT",49
"104","N907UA",1343
"105","N19357",887
"106","N530UA",1211
"107","N388AA",276
"108","N117UA",14
"109","N520US",1179
"110","N626AA",757
"111","N73270",1063
