"","tailnum","Count"
"1","N805UA",1210
"2","N667AW",1319
"3","N426UA",1166
"4","N829UA",1260
"5","N665AW",1360
"6","N302NB",816
"7","N738US",1266
"8","N419UA",1223
"9","N826UA",1180
"10","N278AY",55
"11","N810AW",1341
"12","N831UA",1300
"13","N642AW",1319
"14","N345NW",1269
"15","N415UA",1089
"16","N754UW",1912
"17","N503JB",1327
"18","N629AW",1341
"19","N109UW",1337
"20","N163US",1044
"21","N478UA",1313
"22","N320NB",1333
"23","N916FR",1512
"24","N485UA",1426
"25","N321NB",1311
"26","N349NW",1288
"27","N319US",1179
"28","N756US",1579
"29","N182UW",1142
"30","N655AW",1319
"31","N325US",1271
"32","N801UA",1171
"33","N440UA",1377
"34","N184US",969
"35","N326NB",1261
"36","N701UW",1476
"37","N823UA",1241
"38","N714US",1198
"39","N528JB",1348
"40","N427UA",1182
"41","N835UA",1218
"42","N621AW",1410
"43","N487UA",1402
"44","N121UW",1343
"45","N322NB",1319
"46","N434UA",1174
"47","N124US",1194
"48","N901FR",1379
"49","N315US",1116
"50","N451UA",1447
"51","N842UA",1235
"52","N455UA",1223
"53","N740UW",1568
"54","N432UA",1159
"55","N305US",1198
"56","N812AW",1398
"57","N763US",1616
"58","N431UA",1011
"59","N824UA",1243
"60","N820UA",1271
"61","N277AY",68
"62","N517JB",1360
"63","N534JB",1360
"64","N744P",1567
"65","N768US",1461
"66","N745VJ",1416
"67","N435UA",1157
"68","N335NW",1173
"69","N658AW",1311
"70","N823AW",1478
"71","N827AW",1460
"72","N770UW",1835
"73","N275AY",58
"74","N356NW",1385
"75","N439UA",1337
"76","N831AW",1428
"77","N408UA",1062
"78","N737US",1254
"79","N748UW",1899
"80","N762US",1557
"81","N535JB",1348
"82","N319NB",1330
"83","N808UA",1169
"84","N338NW",1363
"85","N625AW",1304
"86","N174US",956
"87","N328NW",1400
"88","N649AW",1285
"89","N815UA",1224
"90","N520JB",1388
"91","N829AW",1369
"92","N716UW",1525
"93","N602AW",1322
"94","N411UA",1131
"95","N712US",1177
"96","N810UA",1287
"97","N524JB",1469
"98","N459UA",1421
"99","N273AY",69
"100","N178US",986
"101","N700UW",1448
"102","N339NW",1309
"103","N318US",1102
"104","N628AW",1272
"105","N751UW",1781
"106","N717UW",1347
"107","N336NW",1366
"108","N809AW",1370
"109","N430UA",1165
"110","N624AW",1277
"111","N813AW",1440
"112","N454UA",1218
"113","N730US",1277
"114","N324NB",1337
"115","N276AY",69
"116","N816AW",1440
"117","N819UA",1243
"118","N510JB",1366
"119","N444UA",1382
"120","N711UW",1411
"121","N830AW",1407
"122","N122US",1130
"123","N467UA",1520
"124","N505JB",1337
"125","N443UA",1206
"126","N192UW",1182
"127","N802AW",1419
"128","N486UA",1473
"129","N323US",1243
"130","N725UW",1562
"131","N323NB",1393
"132","N405UA",1278
"133","N660AW",1371
"134","N445UA",1370
"135","N342NW",1274
"136","N410UA",1137
"137","N837UA",1268
