"","Destination","Origin","Origin_Lat","Origin_Lon","Dest_Lat","Dest_Lon"
"4794","ORD","DFW",32.89595056,-97.0372,41.979595,-87.90446417
"4909","ORD","ATL",33.64044444,-84.42694444,41.979595,-87.90446417
"244","ATL","ORD",41.979595,-87.90446417,33.64044444,-84.42694444
"5234","PHX","SAN",32.73355611,-117.1896567,33.43416667,-112.0080556
"2979","IAH","DFW",32.89595056,-97.0372,29.98047222,-95.33972222
"5809","SAN","PHX",33.43416667,-112.0080556,32.73355611,-117.1896567
"3480","LAX","SAN",32.73355611,-117.1896567,33.94253611,-118.4080744
"1912","DFW","ATL",33.64044444,-84.42694444,32.89595056,-97.0372
"1930","DFW","IAH",29.98047222,-95.33972222,32.89595056,-97.0372
"273","ATL","DFW",32.89595056,-97.0372,33.64044444,-84.42694444
"3501","LAX","SJC",37.36186194,-121.9290089,33.94253611,-118.4080744
"6192","SJC","LAX",33.94253611,-118.4080744,37.36186194,-121.9290089
"5828","SAN","LAX",33.94253611,-118.4080744,32.73355611,-117.1896567
"4816","ORD","BOS",42.3643475,-71.00517917,41.979595,-87.90446417
"4840","ORD","PHL",39.87195278,-75.24114083,41.979595,-87.90446417
"745","BOS","ORD",41.979595,-87.90446417,42.3643475,-71.00517917
"1725","DEN","DFW",32.89595056,-97.0372,39.85840806,-104.6670019
"5132","PHL","ORD",41.979595,-87.90446417,39.87195278,-75.24114083
"1674","DCA","ORD",41.979595,-87.90446417,38.85208333,-77.03772222
"2022","DTW","ORD",41.979595,-87.90446417,42.21205889,-83.34883583
"4858","ORD","DCA",38.85208333,-77.03772222,41.979595,-87.90446417
"6027","SEA","SFO",37.61900194,-122.3748433,47.44898194,-122.3093131
"1922","DFW","DEN",39.85840806,-104.6670019,32.89595056,-97.0372
"6129","SFO","SEA",47.44898194,-122.3093131,37.61900194,-122.3748433
"4934","ORD","DEN",39.85840806,-104.6670019,41.979595,-87.90446417
"4859","ORD","DTW",42.21205889,-83.34883583,41.979595,-87.90446417
"1671","DCA","BOS",42.3643475,-71.00517917,38.85208333,-77.03772222
"1782","DEN","ORD",41.979595,-87.90446417,39.85840806,-104.6670019
"693","BOS","DCA",38.85208333,-77.03772222,42.3643475,-71.00517917
"3505","LAX","SEA",47.44898194,-122.3093131,33.94253611,-118.4080744
"6047","SEA","LAX",33.94253611,-118.4080744,47.44898194,-122.3093131
"3297","JFK","LAX",33.94253611,-118.4080744,40.63975111,-73.77892556
"5192","PHX","ONT",34.056,-117.6011944,33.43416667,-112.0080556
"3535","LAX","JFK",40.63975111,-73.77892556,33.94253611,-118.4080744
"4755","ONT","PHX",33.43416667,-112.0080556,34.056,-117.6011944
"6575","STL","ORD",41.979595,-87.90446417,38.74768694,-90.35998972
"4792","ORD","STL",38.74768694,-90.35998972,41.979595,-87.90446417
"2209","EWR","ATL",33.64044444,-84.42694444,40.69249722,-74.16866056
"175","ATL","EWR",40.69249722,-74.16866056,33.64044444,-84.42694444
"6077","SFO","SAN",32.73355611,-117.1896567,37.61900194,-122.3748433
"6012","SEA","ANC",61.17432028,-149.9961856,47.44898194,-122.3093131
"1920","DFW","LAX",33.94253611,-118.4080744,32.89595056,-97.0372
"3442","LAX","DFW",32.89595056,-97.0372,33.94253611,-118.4080744
"5837","SAN","SFO",37.61900194,-122.3748433,32.73355611,-117.1896567
"5221","PHX","ABQ",35.04022222,-106.6091944,33.43416667,-112.0080556
"3586","LGA","ATL",33.64044444,-84.42694444,40.77724306,-73.87260917
"5092","PHL","BOS",42.3643475,-71.00517917,39.87195278,-75.24114083
"4810","ORD","SFO",37.61900194,-122.3748433,41.979595,-87.90446417
"2199","EWR","BOS",42.3643475,-71.00517917,40.69249722,-74.16866056
"134","ANC","SEA",47.44898194,-122.3093131,61.17432028,-149.9961856
"225","ATL","LGA",40.77724306,-73.87260917,33.64044444,-84.42694444
"766","BOS","EWR",40.69249722,-74.16866056,42.3643475,-71.00517917
"6064","SFO","ORD",41.979595,-87.90446417,37.61900194,-122.3748433
"764","BOS","PHL",39.87195278,-75.24114083,42.3643475,-71.00517917
"53","ABQ","PHX",33.43416667,-112.0080556,35.04022222,-106.6091944
"1910","DFW","SAT",29.53369444,-98.46977778,32.89595056,-97.0372
"1894","DFW","AUS",30.19453278,-97.66987194,32.89595056,-97.0372
"377","AUS","DFW",32.89595056,-97.0372,30.19453278,-97.66987194
"5227","PHX","DEN",39.85840806,-104.6670019,33.43416667,-112.0080556
"1787","DEN","PHX",33.43416667,-112.0080556,39.85840806,-104.6670019
"2726","HOU","MSY",29.99338889,-90.25802778,29.64541861,-95.27888889
"4569","MSY","HOU",29.64541861,-95.27888889,29.99338889,-90.25802778
"5883","SAT","DFW",32.89595056,-97.0372,29.53369444,-98.46977778
"1786","DEN","LAX",33.94253611,-118.4080744,39.85840806,-104.6670019
"3461","LAX","DEN",39.85840806,-104.6670019,33.94253611,-118.4080744
"4218","MIA","ATL",33.64044444,-84.42694444,25.79325,-80.29055556
"186","ATL","PHL",39.87195278,-75.24114083,33.64044444,-84.42694444
"3892","MCO","ATL",33.64044444,-84.42694444,28.42888889,-81.31602778
"5187","PHX","DFW",32.89595056,-97.0372,33.43416667,-112.0080556
"311","ATL","MIA",25.79325,-80.29055556,33.64044444,-84.42694444
"2939","IAH","ORD",41.979595,-87.90446417,29.98047222,-95.33972222
"4847","ORD","IAH",29.98047222,-95.33972222,41.979595,-87.90446417
"3599","LGA","DFW",32.89595056,-97.0372,40.77724306,-73.87260917
"5141","PHL","ATL",33.64044444,-84.42694444,39.87195278,-75.24114083
"1909","DFW","PHX",33.43416667,-112.0080556,32.89595056,-97.0372
