"","tailnum","Count"
"1","N16170",1197
"2","N226SW",3100
"3","N34111",1174
"4","N15926",2007
"5","N11109",1222
"6","N270YV",3180
"7","N14542",1674
"8","N16502",1630
"9","N12142",1160
"10","N625AE",2108
"11","N29917",1719
"12","N16911",1670
"13","N654AE",2103
"14","N295UX",3124
"15","N610AE",2077
"16","N702AE",1721
"17","N17507",1727
"18","N16546",1705
"19","N701MH",1719
"20","N224SW",2854
"21","N739AE",1749
"22","N15985",1672
"23","N15980",1700
"24","N622AE",2089
"25","N813AE",1984
"26","N856AE",2008
"27","N925AE",1200
"28","N676AE",2355
"29","N17159",1154
"30","N11137",1211
"31","N659AE",2247
"32","N235SW",2968
"33","N288SW",3004
"34","N839AE",2025
"35","N689EC",2182
"36","N271YV",2888
"37","N13124",1225
"38","N565SW",2748
"39","N19554",1765
"40","N13914",1829
"41","N16999",1684
"42","N14173",1222
"43","N14933",1987
"44","N561SW",3051
"45","N11551",1721
"46","N227SW",3153
"47","N14179",1037
"48","N685AE",2251
"49","N663AR",2172
"50","N815AE",2149
"51","N14940",2021
"52","N707EB",1627
"53","N12135",1205
"54","N15527",1317
"55","N17146",1152
"56","N684JW",2323
"57","N11155",1151
"58","N13990",1779
"59","N688AE",2270
"60","N650AE",2058
"61","N296SW",3105
"62","N845AE",1976
"63","N13132",1221
"64","N724AE",1645
"65","N11548",1764
"66","N628AE",2237
"67","N13975",1774
"68","N27962",1702
"69","N11191",339
"70","N620AE",2174
"71","N14902",1724
"72","N647AE",2190
"73","N17521",1351
"74","N715AE",1647
"75","N14952",1625
"76","N829AE",2079
"77","N25504",1650
"78","N12519",1329
"79","N12957",1669
"80","N14925",2068
"81","N842AE",2249
"82","N21129",1219
"83","N13969",1790
"84","N653AE",2171
"85","N292UX",3112
"86","N29515",1378
"87","N646AE",2094
"88","N632AE",2146
"89","N14148",1144
"90","N667GB",2274
"91","N15932",2113
"92","N14930",2084
"93","N800AE",1792
"94","N14916",1807
"95","N21537",1727
"96","N730KW",1775
"97","N48901",1778
"98","N11113",1190
"99","N696AE",2148
"100","N19966",1620
"101","N31131",1182
"102","N723AE",1671
"103","N18120",1178
"104","N637AE",1990
"105","N811AE",1969
"106","N686AE",2431
"107","N806AE",1895
"108","N560SW",3236
"109","N727AE",1748
"110","N13968",1745
"111","N16961",1594
"112","N292SW",3049
"113","N652RS",2231
"114","N840AE",1831
"115","N13913",1781
"116","N15941",1891
"117","N719AE",1739
"118","N14923",1696
"119","N835AE",2066
"120","N13550",1728
"121","N729AE",1781
"122","N16183",724
"123","N291SW",2921
"124","N14174",1227
"125","N11119",1215
"126","N624AE",2047
"127","N11140",1126
"128","N11194",132
"129","N683AE",2306
"130","N215SW",2430
"131","N629AE",2209
"132","N679AE",2326
"133","N849AE",2354
"134","N12563",1746
"135","N17196",44
"136","N732DH",1668
"137","N13123",1257
"138","N905JH",1901
"139","N15910",1701
"140","N844AE",1807
"141","N673AE",2249
"142","N657AE",2253
"143","N837AE",2234
"144","N721HS",1734
"145","N17984",1702
"146","N12569",1903
