"","tailnum","Count"
"1","N10575",1704
"2","N11106",1221
"3","N11107",1275
"4","N11109",1267
"5","N11113",1311
"6","N11119",1220
"7","N11121",1237
"8","N11127",1055
"9","N11137",783
"10","N11140",697
"11","N11150",237
"12","N11526",1522
"13","N11535",1631
"14","N11536",1626
"15","N11539",1652
"16","N11544",1618
"17","N11547",1650
"18","N11548",1658
"19","N11551",1668
"20","N11565",1736
"21","N12122",1159
"22","N12126",1162
"23","N12135",837
"24","N12136",780
"25","N12142",665
"26","N12145",418
"27","N12519",1541
"28","N12528",1623
"29","N12530",1583
"30","N12540",1694
"31","N12552",1631
"32","N12563",1716
"33","N12564",1658
"34","N12567",1765
"35","N12569",1761
"36","N12900",1624
"37","N12921",1651
"38","N12922",1681
"39","N12924",1504
"40","N12934",1833
"41","N12946",1616
"42","N12957",1550
"43","N12967",1628
"44","N12996",1585
"45","N13118",1322
"46","N13123",1175
"47","N13124",1140
"48","N13132",941
"49","N13133",855
"50","N13538",896
"51","N13550",1711
"52","N13553",1659
"53","N13566",1734
"54","N13903",1614
"55","N13908",1680
"56","N13913",1624
"57","N13914",1616
"58","N13929",1693
"59","N13935",1868
"60","N13936",1720
"61","N13949",1439
"62","N13955",1430
"63","N13956",1587
"64","N13958",1549
"65","N13964",1467
"66","N13965",1584
"67","N13968",1563
"68","N13969",1616
"69","N13970",1500
"70","N13975",1641
"71","N13978",948
"72","N13979",1600
"73","N13988",1591
"74","N13989",1562
"75","N13990",1490
"76","N13992",1498
"77","N13994",1543
"78","N13995",1564
"79","N13997",1528
"80","N14105",1263
"81","N14116",1280
"82","N14117",1214
"83","N14125",1078
"84","N14143",565
"85","N14148",333
"86","N14153",64
"87","N14505",1380
"88","N14508",1441
"89","N14514",1621
"90","N14516",1614
"91","N14522",1623
"92","N14542",1616
"93","N14543",1639
"94","N14558",1657
"95","N14562",1700
"96","N14568",1705
"97","N14570",1689
"98","N14573",1728
"99","N14902",1636
"100","N14904",1612
"101","N14905",1650
"102","N14907",1648
"103","N14916",1575
"104","N14920",1602
"105","N14923",1726
"106","N14925",1872
"107","N14930",1660
"108","N14933",1795
"109","N14937",1795
"110","N14938",1740
"111","N14939",1821
"112","N14940",1691
"113","N14942",1657
"114","N14943",1621
"115","N14945",1629
"116","N14947",1718
"117","N14950",1510
"118","N14952",1614
"119","N14953",1538
"120","N14959",1489
"121","N14960",1497
"122","N14972",1556
"123","N14974",1605
"124","N14977",1651
"125","N14991",1499
"126","N14993",1585
"127","N14998",1665
"128","N15509",1427
"129","N15527",1536
"130","N15555",1583
"131","N15572",1683
"132","N15574",1666
"133","N15910",1620
"134","N15912",1700
"135","N15926",1697
"136","N15932",1713
"137","N15941",1780
"138","N15948",1683
"139","N15973",1564
"140","N15980",1631
"141","N15983",1580
"142","N15985",1589
"143","N15986",1517
"144","N16112",1284
"145","N16147",377
"146","N16149",273
"147","N16151",153
"148","N16501",1412
"149","N16502",1405
"150","N16510",1380
"151","N16511",1434
"152","N16520",1587
"153","N16525",1631
"154","N16541",1574
"155","N16546",1618
"156","N16559",1714
"157","N16561",1701
"158","N16571",1150
"159","N16911",1660
"160","N16918",1685
"161","N16919",1678
"162","N16927",1718
"163","N16944",1639
"164","N16951",1505
"165","N16954",1548
"166","N16961",1548
"167","N16963",1656
"168","N16976",1651
"169","N16981",1598
"170","N16987",970
"171","N16999",1497
"172","N17108",1246
"173","N17115",1234
"174","N17138",731
"175","N17146",435
"176","N17507",1309
"177","N17513",1638
"178","N17521",1583
"179","N17524",1629
"180","N17560",1670
"181","N17928",1706
"182","N17984",1613
"183","N18101",1179
"184","N18102",1274
"185","N18114",1276
"186","N18120",1206
"187","N18556",1660
"188","N18557",1677
"189","N18982",1583
"190","N19503",1297
"191","N19554",1675
"192","N19966",1513
"193","N21129",974
"194","N21130",989
"195","N21144",547
"196","N21154",66
"197","N21537",909
"198","N215SW",2379
"199","N216SW",2366
"200","N217SW",2460
"201","N218SW",2599
"202","N220SW",2586
"203","N221SW",2699
"204","N223SW",2927
"205","N224SW",2550
"206","N226SW",3127
"207","N227SW",2836
"208","N22909",1623
"209","N22971",1548
"210","N229SW",2866
"211","N23139",682
"212","N232SW",2950
"213","N233SW",2933
"214","N234SW",2983
"215","N235SW",2972
"216","N236SW",2377
"217","N237SW",2949
"218","N24103",1238
"219","N24128",1024
"220","N24517",1673
"221","N250YV",3001
"222","N25134",901
"223","N251YV",2833
"224","N25504",731
"225","N26141",670
"226","N26545",1600
"227","N26549",1554
"228","N270YV",2806
"229","N27152",133
"230","N271YV",2900
"231","N27506",1356
"232","N27512",1450
"233","N27523",1618
"234","N27962",1515
"235","N284YV",2847
"236","N28518",1545
"237","N28529",1593
"238","N288SW",2927
"239","N289YV",2823
"240","N290SW",2980
"241","N291SW",3017
"242","N292SW",2963
"243","N292UX",2761
"244","N293SW",3107
"245","N294SW",2846
"246","N29515",1598
"247","N295SW",2655
"248","N295UX",2666
"249","N296SW",2760
"250","N297SW",2722
"251","N298SW",2377
"252","N29906",1617
"253","N29917",975
"254","N299SW",2879
"255","N301YV",3023
"256","N308SW",2625
"257","N31131",896
"258","N34110",1270
"259","N34111",1238
"260","N36915",1541
"261","N393SW",2687
"262","N41104",1234
"263","N48901",1622
"264","N560SW",3020
"265","N561SW",3035
"266","N562SW",2965
"267","N563SW",2917
"268","N564SW",2788
"269","N565SW",2794
"270","N566SW",2852
"271","N567SW",2548
"272","N568SW",2661
"273","N569SW",2631
"274","N576SW",2678
"275","N578SW",2786
"276","N579SW",2446
"277","N580SW",2488
"278","N581SW",2785
"279","N582SW",2192
"280","N583SW",2207
"281","N584SW",2440
"282","N585SW",2312
"283","N586SW",2466
