"","tailnum","Count"
"1","N739GB",2002
"2","N766SW",2037
"3","N566UA",1216
"4","N672UA",980
"5","N372DA",984
"6","N18622",1364
"7","N77295",1005
"8","N784SW",2050
"9","N919UW",949
"10","N686DA",1294
"11","N76355",950
"12","N3747D",989
"13","N16703",888
"14","N920UW",952
"15","N339UA",1656
"16","N311AW",1703
"17","N173DN",29
"18","N18223",970
"19","N478WN",2071
"20","N578UA",1177
"21","N261WN",1992
"22","N473WN",2045
"23","N618AA",876
"24","N175AT",1746
"25","N12125",486
"26","N861DA",153
"27","N439WN",2020
"28","N27733",928
"29","N586HA",722
"30","N220UA",68
"31","N614AS",1461
"32","N996AT",1995
"33","N350SW",1988
"34","N29717",891
"35","N33289",994
"36","N512US",1203
"37","N12114",432
"38","N309AS",1219
"39","N14346",945
"40","N129DL",920
"41","N290AT",1782
"42","N674DL",1222
"43","N637SW",2614
"44","N600WN",2481
"45","N104UA",4
"46","N35407",1304
"47","N223UA",51
"48","N573UA",1204
"49","N569AS",1023
"50","N3741S",981
"51","N200UU",235
"52","N863DA",151
"53","N529UA",1259
"54","N505AU",1537
"55","N14214",875
"56","N790SW",1948
"57","N598HA",542
"58","N19141",465
"59","N390AA",309
"60","N37290",991
"61","N902AW",704
"62","N619AA",824
"63","N434WN",2026
"64","N303AS",1233
"65","N992AT",2041
"66","N407WN",2007
"67","N358AA",254
"68","N704SW",2239
"69","N12318",1126
"70","N654SW",2307
"71","N285AT",1769
"72","N642AA",812
"73","N395DN",1217
"74","N403WN",1914
"75","N67157",212
"76","N687SW",2604
"77","N230WN",2047
"78","N566AS",1122
"79","N385SW",2663
"80","N568UA",1139
"81","N664DN",1306
"82","N13750",898
"83","N372AA",283
"84","N76269",952
"85","N725SW",1985
"86","N603SW",2516
"87","N33132",501
"88","N626AA",758
"89","N921UA",1711
"90","N662UA",289
"91","N624AS",1422
"92","N639DL",987
"93","N586AS",254
"94","N537US",480
"95","N329AT",866
"96","N661UA",301
"97","N68155",234
"98","N627AA",855
"99","N14242",956
"100","N536UA",1199
"101","N59338",1183
"102","N224WN",2080
"103","N587HA",663
"104","N254WN",2005
"105","N427US",1502
"106","N207WN",2060
"107","N3759",936
"108","N504AU",1749
"109","N437WN",2022
"110","N533UA",1234
"111","N508SW",2226
"112","N547US",881
"113","N249AU",251
"114","N574UA",1231
"115","N632AA",909
"116","N958AT",2183
"117","N975AT",2036
"118","N631SW",2643
"119","N6710E",1021
"120","N746SW",2126
"121","N257WN",2040
"122","N35260",955
"123","N562AS",713
"124","N329UA",1567
"125","N698SW",2409
"126","N980AT",2047
"127","N3765",999
"128","N19117",525
"129","N614SW",2480
"130","N1608",21
"131","N783UA",110
"132","N507UA",1087
"133","N505SW",2186
"134","N303AW",1649
"135","N699SW",2604
"136","N73152",207
"137","N491WN",2010
"138","N12238",950
"139","N651UA",305
"140","N584AS",326
"141","N585UA",1209
"142","N12221",963
"143","N665WN",2562
"144","N555NW",1181
"145","N309UA",1638
"146","N14308",1120
"147","N626DL",1347
"148","N386UA",1612
"149","N937UW",1266
"150","N754SW",1950
"151","N642UA",289
"152","N612AS",1526
"153","N10323",1114
"154","N703TW",327
"155","N480WN",2052
"156","N517AU",1767
"157","N328AT",924
"158","N553AS",1186
"159","N6702",1127
"160","N33209",906
"161","N192DN",22
"162","N6707A",990
"163","N16732",831
"164","N557UA",822
"165","N629SW",2660
"166","N33608",1287
"167","N583UA",1132
"168","N16642",1412
"169","N14601",1250
"170","N449WN",2026
"171","N177DZ",39
"172","N934UA",1603
"173","N3755D",923
"174","N315AT",1501
"175","N498WN",2010
"176","N606SW",2578
"177","N669UA",986
"178","N73283",1045
"179","N178DZ",35
"180","N745SW",2072
"181","N930UA",1715
"182","N633SW",2611
"183","N707SA",2146
"184","N778AS",1579
"185","N26123",508
"186","N287AT",1781
"187","N613AA",761
"188","N627DL",1224
"189","N1603",17
"190","N504US",1159
"191","N17105",397
"192","N690SW",2642
"193","N399UA",1584
"194","N519UA",1043
"195","N424US",1564
"196","N14667",1390
"197","N516US",1322
"198","N27722",901
"199","N581NW",1197
"200","N768UA",255
"201","N631AA",785
"202","N237WN",2087
"203","N228WN",2041
"204","N676UA",987
"205","N186DN",23
"206","N17344",1153
"207","N306AW",1480
"208","N14629",1295
"209","N930UW",1159
"210","N757LV",1944
"211","N17104",396
"212","N3737C",1166
"213","N943AT",2040
"214","N59302",1227
"215","N796AS",1625
"216","N493WN",2026
"217","N16217",967
"218","N643AA",818
"219","N538US",394
"220","N76153",203
"221","N942AT",2044
"222","N158AW",1593
"223","N283AT",1809
"224","N11612",1284
"225","N715SW",2223
"226","N544UA",1123
"227","N970AT",2134
"228","N3745B",1075
"229","N616AA",856
"230","N183DN",23
"231","N16713",860
"232","N645DL",1105
"233","N587UA",1097
"234","N14118",404
"235","N925UA",1482
"236","N376DA",960
"237","N359AA",298
"238","N776AS",1528
"239","N73270",966
"240","N659SW",2403
"241","N774SW",1994
"242","N844MH",257
"243","N316AW",1515
"244","N526UA",1152
"245","N176DN",31
"246","N153DL",27
"247","N292WN",619
"248","N592HA",628
"249","N424WN",2049
"250","N389AA",253
"251","N193DN",16
"252","N75851",1043
"253","N173AT",1745
"254","N912UA",1649
"255","N837AL",3883
"256","N17245",971
"257","N484WN",2071
"258","N169DZ",25
"259","N580UA",1192
"260","N67158",191
"261","N12116",444
"262","N623AA",744
"263","N243WN",2020
"264","N19638",1417
"265","N328SW",2179
"266","N796UA",98
"267","N783SW",1944
"268","N775SW",1941
"269","N369UA",1510
"270","N547UA",983
"271","N987AT",2113
"272","N940AT",2031
"273","N39297",1085
"274","N906UA",1505
"275","N78866",1177
"276","N263WN",1990
"277","N604DL",1021
"278","N3754A",1039
"279","N295AT",1759
"280","N295WN",360
"281","N353SW",1557
"282","N24633",1397
"283","N612AA",727
"284","N660DL",1374
"285","N894AT",2124
"286","N900WN",128
"287","N624DL",1319
"288","N329AA",670
"289","N935UW",1210
"290","N291WN",662
"291","N910UA",1585
"292","N16339",1199
"293","N913AW",870
"294","N384DA",1010
"295","N3761R",936
"296","N650DL",1095
"297","N732SW",1908
"298","N17663",1386
"299","N953AT",2089
"300","N270WN",1998
