"","tailnum","Count"
"1","N686BR",1929
"2","N455CA",1707
"3","N443CA",1663
"4","N417SW",1776
"5","N902FJ",1919
"6","N904FJ",2134
"7","N376CA",1585
"8","N712EV",1410
"9","N739CA",1649
"10","N864AS",1737
"11","N924EV",1913
"12","N975EV",1863
"13","N805SK",1594
"14","N597SW",1654
"15","N922FJ",2157
"16","N941SW",2255
"17","N776SK",1757
"18","N814SK",1528
"19","N763SK",1799
"20","N911FJ",2109
"21","N465SW",1885
"22","N938SW",2216
"23","N709BR",1764
"24","N817SK",1294
"25","N75993",2308
"26","N510MJ",1943
"27","N980EV",1905
"28","N881AS",2006
"29","N676CA",360
"30","N698BR",1656
"31","N27318",2133
"32","N506MJ",2016
"33","N432SW",1923
"34","N451CA",1757
"35","N779CA",1679
"36","N505AE",1905
"37","N862AS",1887
"38","N810CA",1681
"39","N7264V",2042
"40","N921EV",2038
"41","N507AE",1706
"42","N726SK",1688
"43","N807CA",1641
"44","N457SW",1968
"45","N912FJ",2105
"46","N669CA",1721
"47","N369CA",1608
"48","N87353",1889
"49","N438SW",1913
"50","N409CA",1663
"51","N703SK",1742
"52","N708EV",1620
"53","N978EV",1934
"54","N459SW",1957
"55","N654BR",4278
"56","N472CA",1228
"57","N918FJ",2169
"58","N692CA",238
"59","N716CA",1843
"60","N724EV",1706
"61","N718SK",1772
"62","N740EV",1628
"63","N909FJ",2098
"64","N442SW",1875
"65","N710EV",1523
"66","N886AS",1926
"67","N929SW",2292
"68","N508AE",1664
"69","N728SK",1688
"70","N651BR",4346
"71","N695CA",22
"72","N875AS",1816
"73","N809SK",1626
"74","N815CA",1622
"75","N812SK",1612
"76","N970EV",1979
"77","N840AS",1742
"78","N651ML",2150
"79","N522AE",1720
"80","N978SW",2437
"81","N803SK",1620
"82","N748EV",1642
"83","N461SW",1924
"84","N504AE",1786
"85","N515AE",1839
"86","N901EV",1772
"87","N842AS",1781
"88","N854AS",1782
"89","N526CA",1732
"90","N446SW",1851
"91","N976SW",2333
"92","N468CA",835
"93","N962SW",2471
"94","N515MJ",1915
"95","N738SK",1712
"96","N423SW",1826
"97","N844AS",1701
"98","N916FJ",2195
"99","N845AS",1809
"100","N951SW",2204
"101","N874AS",1736
"102","N603SK",1793
"103","N504MJ",1960
"104","N742SK",1664
"105","N938LR",2186
"106","N430SW",1777
"107","N75998",2223
"108","N868CA",1688
"109","N649BR",2238
"110","N865AS",1818
"111","N920EV",1917
"112","N804SK",1539
"113","N655BR",4483
"114","N77331",2058
"115","N719CA",1684
"116","N912SW",2384
"117","N934EV",1946
"118","N501MJ",1993
"119","N75987",2436
"120","N935LR",2193
"121","N331CA",1614
"122","N496CA",1105
"123","N709SK",1667
"124","N503AE",1769
"125","N611SK",1697
"126","N448SW",1855
"127","N836AS",1731
"128","N436CA",1704
"129","N859AS",1949
"130","N460SW",1935
"131","N821CA",1732
"132","N706SK",1747
"133","N524AE",1823
"134","N933LR",2045
"135","N936EV",1863
"136","N471CA",1370
"137","N979EV",1980
"138","N908SW",2144
"139","N75992",2390
"140","N921FJ",2181
"141","N681BR",1921
"142","N17358",2150
"143","N760SK",1781
"144","N713CA",1643
"145","N846AS",1820
"146","N917EV",2033
"147","N913EV",1809
"148","N613SK",1410
"149","N354CA",1676
"150","N514MJ",1906
"151","N797CA",1671
"152","N778SK",1741
"153","N924FJ",2076
"154","N708SK",1694
"155","N678CA",368
