"","tailnum","Count"
"1","N837AE",1754
"2","N12540",1763
"3","N271YV",2764
"4","N29906",1687
"5","N833AE",1858
"6","N41104",1253
"7","N14116",1194
"8","N845AE",1918
"9","N713AE",1560
"10","N706RG",1749
"11","N952UW",208
"12","N829AE",1852
"13","N923AE",2145
"14","N12552",1240
"15","N13994",1724
"16","N804AE",2268
"17","N944UW",1308
"18","N24103",1213
"19","N857AE",1729
"20","N622AE",2185
"21","N949UW",363
"22","N16511",1726
"23","N27523",1549
"24","N13995",1708
"25","N12567",1878
"26","N14573",1794
"27","N17521",1525
"28","N11164",1441
"29","N842AE",1837
"30","N807AE",2402
"31","N14514",1691
"32","N831AE",1832
"33","N13123",1201
"34","N560SW",3021
"35","N852AE",1773
"36","N11113",1231
"37","N17928",1915
"38","N265JB",1821
"39","N689EC",2383
"40","N814AE",1712
"41","N681AE",2177
"42","N13979",1756
"43","N17984",1731
"44","N14203",780
"45","N13566",1734
"46","N816AE",1856
"47","N808AE",1970
"48","N15572",1826
"49","N16944",1928
"50","N14960",1729
"51","N935AE",2092
"52","N12160",1175
"53","N11539",1760
"54","N231JB",1816
"55","N19966",1681
"56","N630AE",2236
"57","N11194",1404
"58","N822AE",1911
"59","N14153",1216
"60","N12142",1317
"61","N611AE",2071
"62","N705AE",1479
"63","N941LT",2163
"64","N13955",1720
"65","N13929",1878
"66","N224SW",2843
"67","N659AE",2207
"68","N12195",1328
"69","N656AE",2166
"70","N16502",1704
"71","N13903",1746
"72","N16981",1712
"73","N14991",1716
"74","N295SW",3466
"75","N12172",1276
"76","N12924",1711
"77","N14173",1370
"78","N568SW",3024
"79","N22971",1785
"80","N665BC",2070
"81","N909AE",2242
"82","N14542",1771
"83","N707EB",1617
"84","N703MR",1549
"85","N11107",1166
"86","N805AE",2130
"87","N815AE",1885
"88","N684JW",2267
"89","N16961",1700
"90","N21129",1236
"91","N229SW",3181
"92","N18101",1186
"93","N691AE",2063
"94","N29917",1831
"95","N679AE",2268
"96","N27506",1782
"97","N638AE",2291
"98","N14993",1754
"99","N849AE",1946
"100","N13997",1763
"101","N922AE",2165
"102","N636AE",2120
"103","N12957",1732
"104","N16954",1701
"105","N192JB",1815
"106","N820AE",1805
"107","N16149",1252
"108","N14942",1909
"109","N731BE",1708
"110","N11535",1728
"111","N576SW",3047
"112","N229JB",1843
"113","N292SW",3437
"114","N716AE",1682
"115","N624AE",2136
"116","N14945",1920
"117","N14168",1231
"118","N274JB",946
"119","N291SW",3006
"120","N698CB",2236
"121","N11187",1146
"122","N24128",1276
"123","N12569",2157
"124","N11565",1731
"125","N626AE",2246
"126","N14947",1887
"127","N13538",1745
"128","N14974",1790
"129","N918AE",2089
"130","N708AE",1691
"131","N928AE",2216
"132","N809AE",1726
"133","N16151",1156
"134","N732DH",1854
"135","N676AE",2239
"136","N677AE",2209
"137","N34110",1193
"138","N715AE",1661
"139","N11165",1194
"140","N12163",1343
"141","N583SW",2858
"142","N25504",1765
"143","N27962",1762
"144","N22909",2147
"145","N12136",1220
"146","N641AE",2271
"147","N281JB",416
"148","N700LE",1695
"149","N819AE",1764
"150","N11140",1243
"151","N13988",1708
"152","N15910",1845
"153","N826AE",1788
"154","N670AE",2254
"155","N564SW",2907
"156","N803AE",1850
"157","N14570",2171
"158","N16951",1660
"159","N652RS",2223
"160","N821AE",2145
"161","N685AE",2260
"162","N13992",1712
"163","N14105",1160
"164","N13118",1197
"165","N14180",1341
"166","N723AE",1658
"167","N14125",1270
"168","N237SW",2622
"169","N235SW",3172
"170","N737MW",1729
"171","N34111",1219
"172","N675AE",2300
"173","N669MB",2096
"174","N178JB",1700
"175","N203JB",1731
"176","N801AE",1735
"177","N825AE",1704
"178","N682AE",2137
"179","N582SW",2813
"180","N179JB",1693
"181","N953UW",43
"182","N193JB",1798
"183","N800AE",2374
"184","N15983",1732
"185","N717AE",1595
"186","N14117",1245
"187","N617AE",2193
"188","N18120",1230
"189","N565SW",2761
"190","N14162",1347
"191","N21537",1758
"192","N566SW",2848
"193","N817AE",2287
"194","N29515",1598
"195","N14143",1255
"196","N946UW",1238
"197","N13965",1712
"198","N25134",1151
"199","N14950",1702
"200","N855AE",1781
"201","N738NR",1619
"202","N830AE",1935
"203","N14904",1748
"204","N17507",1734
"205","N13956",1715
"206","N615AE",1814
"207","N26141",1264
"208","N15932",2044
"209","N297SW",3051
"210","N17524",1546
"211","N14198",1069
"212","N17115",1193
"213","N13550",1753
"214","N632AE",2334
"215","N710TB",1700
"216","N687JS",2250
"217","N14186",1170
"218","N650AE",2011
"219","N13161",1174
"220","N853AE",2246
"221","N270YV",2811
"222","N13124",1282
"223","N12996",1719
"224","N14522",1532
"225","N13908",1086
"226","N810AE",2199
"227","N15527",1501
"228","N950UW",391
"229","N284YV",3069
"230","N739AE",1717
"231","N13968",1797
"232","N563SW",2810
"233","N23139",1256
"234","N851AE",2078
"235","N227SW",3215
"236","N13202",1052
"237","N14940",1968
"238","N236JB",1836
"239","N11526",1565
"240","N645AE",2206
"241","N948UW",758
"242","N12934",1949
"243","N931AE",2074
"244","N13935",1962
"245","N21130",1246
"246","N16510",1687
"247","N15980",1803
"248","N579SW",2652
"249","N15926",1937
"250","N13978",1795
"251","N14943",2036
"252","N21197",271
"253","N841AE",2619
"254","N16918",1776
"255","N221SW",3204
"256","N14158",1212
"257","N843AE",1818
"258","N655AE",2132
"259","N14953",1678
"260","N15948",2020
"261","N12145",1239
"262","N724AE",1550
"263","N27152",1264
"264","N664MS",2059
"265","N832AE",1715
"266","N660CL",2077
"267","N932AE",2109
"268","N662EH",2163
"269","N690AE",2100
"270","N232SW",2551
"271","N625AE",2029
"272","N197JB",1754
"273","N12201",1164
"274","N11191",1261
"275","N19503",1695
"276","N12135",1242
"277","N906AE",2127
"278","N657AE",2063
"279","N28529",1609
"280","N236SW",2844
"281","N33182",1328
"282","N15986",1731
"283","N14937",1938
"284","N623AE",2175
"285","N15973",1822
"286","N721HS",1593
"287","N48901",1740
"288","N12900",1708
"289","N661JA",2017
"290","N727AE",1686
"291","N184JB",1666
"292","N811AE",1724
"293","N21154",1202
"294","N709GB",1645
"295","N13914",1768
"296","N13958",1761
"297","N631AE",2283
"298","N562SW",3127
"299","N223SW",3152
"300","N569SW",2799
