"","tailnum","Count"
"1","N433UA",1176
"2","N801AW",1315
"3","N316US",1221
"4","N460UA",1552
"5","N622AW",1520
"6","N361NW",1358
"7","N169UW",1240
"8","N351NW",1385
"9","N368NW",1288
"10","N634AW",1411
"11","N454UA",1232
"12","N802AW",1286
"13","N836UA",1346
"14","N342NW",1265
"15","N327NB",1359
"16","N448UA",1512
"17","N323US",1266
"18","N329NW",1247
"19","N466UA",1254
"20","N301NB",1268
"21","N326US",1281
"22","N810UA",1321
"23","N481UA",1540
"24","N807AW",1330
"25","N334NB",1263
"26","N519JB",1347
"27","N319US",1175
"28","N840UA",1358
"29","N335NW",1216
"30","N804UA",1251
"31","N436UA",1231
"32","N469UA",1600
"33","N305US",1205
"34","N751UW",1711
"35","N825AW",1318
"36","N503JB",1445
"37","N179UW",1269
"38","N710UW",1383
"39","N419UA",1101
"40","N480UA",1524
"41","N447UA",1563
"42","N366NW",1299
"43","N844UA",1375
"44","N535JB",1412
"45","N832UA",1343
"46","N748UW",1624
"47","N816UA",1306
"48","N806UA",1349
"49","N843UA",1316
"50","N478UA",1540
"51","N356NW",1335
"52","N409UA",1000
"53","N318NB",1354
"54","N651AW",1377
"55","N626AW",1448
"56","N426UA",1110
"57","N832AW",1364
"58","N401UA",982
"59","N449UA",1220
"60","N750UW",1663
"61","N636AW",1549
"62","N315US",1252
"63","N701UW",1294
"64","N850UA",1356
"65","N360NW",1300
"66","N662AW",1407
"67","N327NW",1294
"68","N631AW",1485
"69","N828AW",1329
"70","N661AW",1440
"71","N324NB",1302
"72","N602AW",1413
"73","N505JB",1438
"74","N649AW",1340
"75","N810AW",1262
"76","N333NW",1260
"77","N705UW",1313
"78","N845UA",1240
"79","N117UW",1282
"80","N414UA",1186
"81","N304US",981
"82","N303US",1191
"83","N805UA",1290
"84","N804AW",1287
"85","N435UA",1123
"86","N837UA",1290
"87","N470UA",1522
"88","N485UA",1607
"89","N740UW",1547
"90","N506JB",1345
"91","N424UA",1119
"92","N331NW",1168
"93","N848UA",1344
"94","N484UA",1641
"95","N109UW",1219
"96","N311US",1198
"97","N315NB",1344
"98","N321US",1200
"99","N656AW",1420
"100","N182UW",1275
"101","N474UA",1507
"102","N831AW",1322
"103","N415UA",1115
"104","N349NW",1058
"105","N104UW",1240
"106","N659AW",1391
"107","N422UA",1164
"108","N741UW",1515
"109","N846UA",1310
"110","N181UW",1268
"111","N746UW",1629
"112","N417UA",1066
"113","N464UA",1282
"114","N301US",1226
